vote,response,sample,time,user
-LZMDLxRyaEj2P_Znrhb,1,subject_001118_task-rest01_in_t1,3868,user_0061
-LZMDMatCq3ODU71lW_-,0,subject_000346_task-MID02_in_t1,2622,user_0061
-LZMDO0N2yN28BvtMfS9,0,subject_000596_t1_in_task-rest02,5768,user_0061
-LZMdr8kyxH0cilAHwOz,1,subject_001384_task-rest01_in_t1,18079,user_0056
-LZMdrrUz6E7hR2aPZQo,1,subject_003443_t1_in_task-MID01,2907,user_0056
-LZMdtsrrXUkYl7th6tg,1,subject_002494_task-SST02_in_t1,8266,user_0056
-LZMduvqi3uG3b5jQsXq,1,gold_subject_001602_t1_in_tfMRI_nBack1_copy1,4272,user_0056
-LZMdvybgMk-QMcAQjEs,1,gold_subject_001025_t1_in_tfMRI_MID2_copy4,4257,user_0056
-LZMlMKLJmf11lT4e9MN,0,subject_001198_t1_in_task-SST02,9369,user_0061
-LZMlNjEQ0MCBBbocSQl,0,gold_subject_001467_rfMRI_REST2_in_t1_copy3,5717,user_0061
-LZMlOGUDvnLcyVVsPpf,1,subject_000129_t1_in_task-nback02,2175,user_0061
-LZMlOz-e7z3mRCZOCqe,1,subject_000821_task-nback01_in_t1,2885,user_0061
-LZMlPV6yMMxHbg6sRrl,0,subject_002375_t1_in_task-rest03,2103,user_0061
-LZMlQ-qcLUsf1wGUT5f,1,subject_002509_task-MID02_in_t1,2075,user_0061
-LZMlQLycvSmoD0NUNuf,0,gold_subject_000071_tfMRI_SST2_in_t1_copy3,1399,user_0061
-LZMlQv5MnLHfdaHMlMs,1,subject_002518_t1_in_task-MID01,2287,user_0061
-LZMlRNT7MnFqK5ond4p,1,subject_002129_t1_in_task-rest01,1849,user_0061
-LZMlS7bafj88Cwt-1q4,1,subject_001095_t1_in_task-nback01,3066,user_0061
-LZMlS_s5-ylPoe8HpSk,1,subject_002295_task-rest03_in_t1,1854,user_0061
-LZMlSxgQ4c_L80WP0IY,1,subject_000908_t1_in_task-SST02,1501,user_0061
-LZMl_PJx_Kg1UWeVWf8,1,subject_002479_task-rest04_in_t1,30484,user_0061
-LZMl_wJmcnTKhscN46F,1,subject_000419_task-nback02_in_t1,2148,user_0061
-LZMlaUoi55FEXaaFbgm,1,subject_003665_task-nback01_in_t1,2254,user_0061
-LZMlcmn6uVTyFlowuOX,1,subject_001771_task-SST01_in_t1,9381,user_0061
-LZMldPI3lTe4v-PHYmK,1,subject_001600_task-rest02_in_t1,2505,user_0061
-LZMlfHJy_uxHT48yKWB,0,subject_001938_task-rest01_in_t1,7654,user_0061
-LZMlfdIz34kN7XXqVUM,1,subject_001138_t1_in_task-rest01,1445,user_0061
-LZMyM542uAeIrDQWQGF,1,gold_subject_001622_t1_in_tfMRI_SST1_copy3,4620,user_0016
-LZMyMU97MzvTbyVadBf,0,subject_000066_t1_in_task-MID02,1435,user_0016
-LZMyO7cnxAJDTtlV4k-,0,gold_subject_002087_t1_in_tfMRI_MID1_copy2,6614,user_0016
-LZMyPej76hMnazEeeLY,1,subject_001539_task-MID02_in_t1,6147,user_0016
-LZMyR6WVlEG6FXU8EyO,1,gold_subject_000149_rfMRI_REST1_in_t1_copy3,5821,user_0016
-LZMyRoP2Ww5x5k6zZKs,0,gold_subject_000085_t1_in_rfMRI_REST1_copy3,2747,user_0016
-LZMySdxLtB-r_38Lazq,0,subject_002713_t1_in_task-nback01,3307,user_0016
-LZMyU63JVFluQGIgRV-,0,subject_001561_t1_in_task-nback02,5832,user_0016
-LZMyWmxw_RafbfxUWPU,1,gold_subject_000589_tfMRI_MID1_in_t1_copy1,10874,user_0016
-LZMyXatZ0wzphFmZ_vJ,1,gold_subject_000687_t1_in_rfMRI_REST1_copy3,3207,user_0016
-LZMyZC_9Go_j3QFEhWi,1,gold_subject_000314_rfMRI_REST3_in_t1_copy1,6447,user_0016
-LZMy_YaK6k8FWvMzsNi,1,gold_subject_000086_rfMRI_REST2_in_t1_copy1,5375,user_0016
-LZMybIDJpayqBwwjHq6,1,subject_000005_task-nback01_in_t1,7027,user_0016
-LZMychBNK-mrEkBc_Lu,0,gold_subject_000356_t1_in_tfMRI_SST1_copy4,5634,user_0016
-LZMydWMlC0VlsE161Hu,0,subject_002898_t1_in_task-rest01,3219,user_0016
-LZMyeoDIy2DXqKjE8PG,1,subject_001517_task-SST01_in_t1,5175,user_0016
-LZMyi7O47wCa5BdfaiS,1,gold_subject_000380_tfMRI_MID4_in_t1_copy1,13459,user_0016
-LZMyinoNa4xXuRJeR1x,0,gold_subject_001336_t1_in_tfMRI_MID1_copy4,2644,user_0016
-LZMyjUvQUSMIQ_KDMR2,0,subject_002083_t1_in_task-SST01,2702,user_0016
-LZMykfweY6l2Z1-WAu3,0,gold_subject_000206_t1_in_rfMRI_REST2_copy1,4739,user_0016
-LZMynb62WRODsiNYnpd,1,subject_000082_task-rest03_in_t1,11862,user_0016
-LZMz27z6C31lRi9XtJ3,1,gold_subject_002457_tfMRI_MID2_in_t1_copy2,63490,user_0016
-LZMz38OUxSCsxWYDqnU,1,gold_subject_000426_tfMRI_MID1_in_t1_copy2,3979,user_0016
-LZMz4n7fqTOacIzB6DP,0,gold_subject_001656_t1_in_tfMRI_MID2_copy4,6634,user_0016
-LZMz6ATRz2UvxhmwKSD,1,subject_002863_task-rest03_in_t1,5537,user_0016
-LZMz7UKV1w31CGM9Ub2,1,gold_subject_000556_tfMRI_nBack1_in_t1_copy4,5231,user_0016
-LZMz84mrcM-VzfcsbsW,0,gold_subject_001224_t1_in_tfMRI_MID1_copy1,2334,user_0016
-LZMz8j74ulJNYUNWqeX,0,gold_subject_000186_t1_in_tfMRI_SST2_copy4,2529,user_0016
-LZMz9vIHbAaPqklqikc,1,gold_subject_001025_tfMRI_SST1_in_t1_copy3,4754,user_0016
-LZMzAUlug2yE9Z2p1Nw,0,subject_002567_t1_in_task-rest04,2202,user_0016
-LZMzBL0ZEPe02dje0p1,0,subject_003906_task-rest02_in_t1,3356,user_0016
-LZMzBu8SuVOtfs7GjkJ,0,subject_003675_t1_in_task-SST02,2187,user_0016
-LZMzCUT_P7i5hzXvsJ5,0,subject_003874_t1_in_task-nback02,2272,user_0016
-LZMzDAYcXO5ycr7uASt,0,subject_002576_t1_in_task-nback01,2705,user_0016
-LZMzE6uxWolglNePFJc,0,gold_subject_000798_t1_in_tfMRI_SST1_copy4,3730,user_0016
-LZMzF9pIZx3chC37ftw,1,gold_subject_000331_tfMRI_SST1_in_t1_copy1,4148,user_0016
-LZMzFzfxB28um1bodJH,1,subject_004013_task-rest01_in_t1,3265,user_0016
-LZMzGYE_ahKZDoXqNj_,1,subject_001846_t1_in_task-SST01,2155,user_0016
-LZMzISJbSfwXeeULMuv,1,subject_002222_task-SST02_in_t1,7696,user_0016
-LZMzJh-uXWXqw4jMmw3,0,gold_subject_000905_t1_in_tfMRI_nBack2_copy4,4976,user_0016
-LZMzKHlTjL6vzUO9yBa,0,gold_subject_000403_t1_in_rfMRI_REST4_copy3,2294,user_0016
-LZMzLiO909L7z7H7VlX,1,gold_subject_002649_rfMRI_REST2_in_t1_copy4,5744,user_0016
-LZMzMMgUUt9qvb6X7MV,0,gold_subject_000681_t1_in_rfMRI_REST3_copy3,2521,user_0016
-LZMzNa_JnNvAjg1x07Z,1,subject_003108_task-nback01_in_t1,4925,user_0016
-LZMzO9n1UFal0KE0Irp,0,gold_subject_000746_t1_in_rfMRI_REST1_copy3,2175,user_0016
-LZMzQ_vFSog8JuVpY0o,1,gold_subject_000828_t1_in_tfMRI_MID1_copy1,9806,user_0016
-LZMzS6DLKlo9y1b3jQp,0,subject_002586_t1_in_task-nback01,6109,user_0016
-LZMzSiUktgASy7OfsjM,0,subject_001378_t1_in_task-rest04,2392,user_0016
-LZMzTJiaXjuL_iTYmEg,0,subject_002940_t1_in_task-SST02,2324,user_0016
-LZMzU51at-tfn-R-3zV,0,subject_001079_t1_in_task-MID01,3034,user_0016
-LZMzUn6_3l-5T0LS1L6,1,gold_subject_000325_tfMRI_nBack2_in_t1_copy4,2751,user_0016
-LZMzVlrn4Suw0bVnY2f,1,subject_002294_task-MID01_in_t1,3894,user_0016
-LZMzWJRHOUSE3Q4iXuM,0,subject_002685_t1_in_task-rest03,2076,user_0016
-LZMzXLmrainjdN2QyGS,1,subject_002654_task-SST01_in_t1,4128,user_0016
-LZMzYFczQ8_1Y9qgRfP,1,subject_001460_task-rest03_in_t1,3575,user_0016
-LZMzYmj-vWEhKtJrStb,0,gold_subject_002807_t1_in_tfMRI_nBack1_copy3,2061,user_0016
-LZMzZrL4FWoD4GR1fkD,1,subject_002614_task-SST01_in_t1,4272,user_0016
-LZMz_dRQzQwBF4_pTPL,0,subject_003312_t1_in_task-nback02,3075,user_0016
-LZMzaDbVdPoezsz870L,0,gold_subject_000040_t1_in_tfMRI_SST2_copy4,2260,user_0016
-LZMzamr2DjJNWY7CMT0,0,subject_003205_t1_in_task-SST02,2194,user_0016
-LZMzbg9S574X7ORdEcl,1,subject_003348_task-rest01_in_t1,3529,user_0016
-LZMzcELz_rrW-sgquKo,0,subject_003667_t1_in_task-rest03,2136,user_0016
-LZMzcr_RgSckjOyQKc2,0,gold_subject_001261_t1_in_rfMRI_REST3_copy4,2457,user_0016
-LZMzdfZFJ4NUqZ6ABhs,1,subject_003910_task-SST01_in_t1,3199,user_0016
-LZMzeGCwalRAWAmxsNc,0,gold_subject_002056_t1_in_rfMRI_REST2_copy1,2278,user_0016
-LZMzeqsEDsRa0ji8H0G,1,subject_001590_task-MID01_in_t1,2285,user_0016
-LZMzfQRf4uroAHAt7SD,0,subject_003719_t1_in_task-rest03,2224,user_0016
-LZMzg5w52qldCASBUSb,1,subject_000070_task-rest04_in_t1,2656,user_0016
-LZMzh2MNphE4h36Il0V,1,gold_subject_000068_tfMRI_SST2_in_t1_copy2,3732,user_0016
-LZMzhtkR5O3m0FkF2sD,1,gold_subject_000796_tfMRI_MID2_in_t1_copy4,3363,user_0016
-LZMziYdrBrXy-EB_-yD,0,subject_002511_t1_in_task-rest01,2556,user_0016
-LZMzjWLHObu9zrB_pb_,1,subject_000293_t1_in_task-rest03,3822,user_0016
-LZMzlF9-JJBFOj-YLA8,1,subject_000772_task-MID01_in_t1,6965,user_0016
-LZMzlq-yIMvnFj8bOzF,0,subject_000853_t1_in_task-rest04,2302,user_0016
-LZMzmkUcEhG8IF9_kJ6,1,subject_003657_task-rest02_in_t1,3622,user_0016
-LZMznimmUUrAA6LsBjb,1,subject_002195_task-MID01_in_t1,3866,user_0016
-LZMzohlEJ56INO-t8Ih,1,subject_003598_task-nback01_in_t1,3912,user_0016
-LZMzpkQIcyUGrNaUYjL,1,subject_001346_task-nback02_in_t1,4144,user_0016
-LZMzqpxx7WJOHPqIGqU,0,subject_001413_t1_in_task-SST02,4335,user_0016
-LZMzsWrOXX_EAYhqqeS,0,subject_002847_t1_in_task-rest02,6783,user_0016
-LZMztWh67ZRRRiIKpn6,0,gold_subject_001683_t1_in_tfMRI_MID2_copy3,3970,user_0016
-LZMzuLkmD92ZyimRYWw,1,subject_000016_task-nback02_in_t1,3263,user_0016
-LZMzvDLXceOcpcFu4t_,1,subject_002615_task-SST02_in_t1,3439,user_0016
-LZMzw0uIGXlZlYbE1iP,1,subject_002136_task-rest02_in_t1,3170,user_0016
-LZMzw_SnRU_qcXmM63m,0,subject_002912_t1_in_task-rest03,2159,user_0016
-LZMzxruMFPa0oB8nak-,0,subject_002491_t1_in_task-rest03,5161,user_0016
-LZMzyzCn_2clme72Ep_,0,subject_002761_t1_in_task-SST02,4432,user_0016
-LZMzzm3c8XSBlaOkXC3,0,subject_000661_t1_in_task-nback02,3130,user_0016
-LZN--mHdQ0mWmhM81Am,0,subject_002726_t1_in_task-rest01,3997,user_0016
-LZN-0gkbG8Frwt7PoiZ,1,subject_000639_task-MID01_in_t1,3608,user_0016
-LZN-1ZffoxswW3W7pL9,1,subject_000333_task-rest04_in_t1,3450,user_0016
-LZN-2DZFQTHhjAaSEwr,0,subject_001369_t1_in_task-rest04,2558,user_0016
-LZN-31mMTBmVCn6a4Ph,1,subject_001583_t1_in_task-rest01,3224,user_0016
-LZN-3nfXZ43OMnUdoz_,1,subject_001446_task-rest02_in_t1,3006,user_0016
-LZN-4T4aLbqn5FgPXbK,0,subject_000721_t1_in_task-rest03,2590,user_0016
-LZN-Leb5JLAWTmebjg7,1,subject_002646_task-rest03_in_t1,4422,user_0016
-LZN-MJtBCXoaIIoexMP,0,gold_subject_000100_t1_in_rfMRI_REST3_copy2,2561,user_0016
-LZN-NMznZZOoNAjrHtO,0,subject_000932_t1_in_task-rest02,4167,user_0016
-LZN-O8smR4dC26zWlir,1,subject_001524_task-rest01_in_t1,3063,user_0016
-LZN-OpphCrct9lth0Fj,1,subject_003335_task-SST02_in_t1,2693,user_0016
-LZN-P_cAC-ndH1GS_l-,1,subject_000174_task-SST01_in_t1,2940,user_0016
-LZN-RNJ0_bjMKDOm8p_,0,subject_000942_t1_in_task-rest01,7213,user_0016
-LZN-SbLCpDbvFIWZwsb,1,gold_subject_000081_rfMRI_REST4_in_t1_copy4,4925,user_0016
-LZN-T8agrOddctk2Gel,0,gold_subject_001097_t1_in_tfMRI_MID2_copy4,2070,user_0016
-LZN-Tsa7RYYJMKM7y_g,1,subject_000696_task-rest02_in_t1,2887,user_0016
-LZN-zGknjx-EDom47F2,1,gold_subject_000880_t1_in_tfMRI_nBack2_copy1,16471,user_0068
-LZN00j79gJa8Wj9IoVW,1,subject_000723_task-rest01_in_t1,10032,user_0068
-LZN01bnyDGM41JPL1M3,1,subject_002938_task-MID02_in_t1,3589,user_0068
-LZN02vD6e70fPUZzPpO,0,gold_subject_001543_tfMRI_MID1_in_t1_copy2,5301,user_0068
-LZN052xq1Xo2QdXA_-G,1,subject_003157_t1_in_task-rest03,8709,user_0068
-LZN063jYj9_i8G23PAu,1,subject_002150_task-rest01_in_t1,4108,user_0068
-LZN06yErfypE_WFe3Au,1,subject_001413_task-rest04_in_t1,3642,user_0068
-LZN07e7DtdiB35foaOz,1,subject_000694_t1_in_task-rest02,2771,user_0068
-LZN09BoC_mn0Qpt7zC7,1,gold_subject_000236_t1_in_tfMRI_MID2_copy1,6277,user_0068
-LZN0B7KyPwhdjRd6zPc,0,gold_subject_000740_t1_in_tfMRI_SST2_copy4,7861,user_0068
-LZN0DezmBg7oTw6p8iP,0,subject_001069_t1_in_task-rest04,10375,user_0068
-LZN0GuozIM6qSRv7VeE,1,subject_001465_task-SST02_in_t1,13264,user_0068
-LZN0ItNScHEDSqsNyAT,1,gold_subject_000810_t1_in_rfMRI_REST3_copy2,8059,user_0068
-LZN0K0oF6AGM95Okc3e,1,subject_002179_t1_in_task-rest03,4596,user_0068
-LZN0L_e7ZhwERMEypId,1,gold_subject_000670_t1_in_tfMRI_MID1_copy1,6357,user_0068
-LZN0MrZv0kJ7bXfg5_b,0,gold_subject_000280_t1_in_rfMRI_REST1_copy1,5207,user_0068
-LZN0NlSAwbbAyazcsz8,1,gold_subject_000033_tfMRI_nBack2_in_t1_copy1,3670,user_0068
-LZN0OdsbaeiBTHjcIfO,1,subject_000626_task-rest01_in_t1,3572,user_0068
-LZN0Pa4BQFKtr8Eh7bf,1,subject_002655_task-MID02_in_t1,3812,user_0068
-LZN0QLpW_LafLIp6Jz2,1,subject_000776_t1_in_task-rest01,3085,user_0068
-LZN0RZsugm_iqTCHCJK,1,subject_003035_task-nback02_in_t1,4959,user_0068
-LZN0SCGKyLEvlYwI3Sy,1,subject_001459_task-rest02_in_t1,2550,user_0068
-LZN0TYEQ6_FLNtMIXyD,1,subject_002871_task-nback01_in_t1,5464,user_0068
-LZN0cqP-0Ez9v-jiekc,0,gold_subject_000244_t1_in_tfMRI_MID1_copy1,4031,user_0068
-LZN0dxDadCk7cv3YRVI,1,subject_003020_task-rest03_in_t1,4500,user_0068
-LZN0e_9DpofMQSZUOIu,1,subject_000223_task-MID02_in_t1,6043,user_0031
-LZN0erZLrxiC3hPlJDl,1,subject_002314_task-SST02_in_t1,3698,user_0068
-LZN0fmLkFaSDKvO9KNj,1,subject_001474_t1_in_task-nback01,3727,user_0068
-LZN0gDOc_5ar1r_rSkM,1,subject_002021_task-MID01_in_t1,6712,user_0031
-LZN0gaGKu_OXTk2Dbkm,1,subject_001697_t1_in_task-MID01,3281,user_0068
-LZN0hj1gqkzWC7Xe9Bu,0,subject_001424_t1_in_task-MID02,4618,user_0068
-LZN0iECeyOu5qfyW15w,1,subject_000840_task-MID01_in_t1,2023,user_0068
-LZN0jHhtkV3rzCPtC6c,0,subject_003866_task-SST02_in_t1,4287,user_0068
-LZN0kV1VsUSIMZf380T,0,gold_subject_001483_tfMRI_SST1_in_t1_copy2,4905,user_0068
-LZN0lYD8IcCvaij9pQV,0,subject_003752_t1_in_task-rest03,4267,user_0068
-LZN0mhWm3AJYbKLxg-p,1,subject_003142_task-rest03_in_t1,4721,user_0068
-LZN0oU15l6nkt7pMrXD,0,gold_subject_001485_tfMRI_nBack1_in_t1_copy3,7210,user_0068
-LZN0oyd3prmgkdJvEQK,1,subject_003641_t1_in_task-rest02,1990,user_0068
-LZN0pY0v7u1oVtBvWJt,1,subject_003520_task-rest04_in_t1,2289,user_0068
-LZN0q1lMjbgAFnP-X84,1,subject_002828_t1_in_task-rest04,1998,user_0068
-LZN0qUXVNz34T7oVkwt,1,subject_000616_task-rest01_in_t1,1808,user_0068
-LZN0rKB4c8FWfzRTyOj,0,subject_001365_task-MID02_in_t1,3396,user_0068
