user,admin,consent,level,score,taken_tutorial
user_0000,True,True,1,280,True
user_0001,False,True,5,1501,True
user_0002,True,True,0,11,True
user_0003,False,True,1,137,True
user_0004,False,True,0,0,False
user_0005,False,True,0,0,False
user_0006,False,True,0,15,True
user_0007,False,True,2,513,True
user_0008,False,True,0,31,True
user_0009,False,True,0,0,False
user_0010,False,True,0,2,True
user_0011,False,True,0,1,True
user_0012,,,2,429,True
user_0013,False,True,0,59,True
user_0014,False,True,0,54,True
user_0015,False,True,0,81,True
user_0016,False,True,0,0,True
user_0017,False,True,2,702,True
user_0018,False,True,2,448,True
user_0019,False,True,6,2856,True
user_0020,False,True,0,0,False
user_0021,False,True,0,0,True
user_0022,False,True,6,3225,True
user_0023,False,True,0,0,True
user_0024,False,True,0,0,False
user_0025,False,True,6,2745,True
user_0026,False,True,0,0,False
user_0027,False,True,0,0,True
user_0028,False,True,4,1420,True
user_0029,False,True,3,852,True
user_0030,False,True,0,0,False
user_0031,False,True,6,6300,True
user_0032,False,True,0,0,False
user_0033,False,True,0,0,False
user_0034,False,True,0,0,False
user_0035,False,True,3,812,True
user_0036,False,True,0,0,False
user_0037,False,True,6,3518,True
user_0038,False,True,0,6,True
user_0039,False,True,0,0,False
user_0040,False,True,1,179,True
user_0041,False,True,2,351,True
user_0042,False,True,1,311,True
user_0043,False,True,6,5143,True
user_0044,False,True,0,0,False
user_0045,False,True,0,0,False
user_0046,False,True,3,753,True
user_0047,False,True,1,101,False
user_0048,False,True,0,0,False
user_0049,False,True,0,17,True
user_0050,False,True,1,104,True
user_0051,False,True,0,1,True
user_0052,False,True,0,53,True
user_0053,False,True,6,4647,True
user_0054,False,True,6,3755,True
user_0055,False,True,0,0,True
user_0056,False,True,0,0,False
user_0057,False,True,0,53,True
user_0058,False,True,0,6,True
user_0059,False,True,0,7,True
user_0060,False,True,0,26,True
user_0061,False,True,1,102,True
user_0062,False,True,0,89,True
user_0063,False,True,5,1509,True
user_0064,False,True,0,0,False
user_0065,False,True,0,0,False
user_0066,False,True,2,609,True
user_0067,False,True,4,1057,True
user_0068,False,True,3,950,True
user_0069,False,True,0,17,True
user_0070,False,True,0,0,False
user_0071,False,True,0,0,False
user_0072,False,True,0,70,True
user_0073,False,True,0,79,True
user_0074,False,True,0,92,True
user_0075,False,True,0,3,True
user_0076,False,True,6,5695,True
user_0077,False,True,0,17,True
user_0078,False,True,0,0,False
user_0079,False,True,0,0,False
user_0080,False,True,0,0,False
user_0081,False,True,0,0,False
user_0082,False,True,0,0,False
user_0083,False,True,1,116,True
user_0084,False,True,3,799,True
