vote,response,sample,time,user,subject,sample_type,gold_standard
-LZNKgoC8-Aj2NuhvKjS,1,subject_001654_atlas_in_t1,5896,user_0028,subject_001654,atlas_in_t1,False
-LZNKhvZBf5qFg37Mvx_,1,subject_001457_t1_in_atlas,4555,user_0028,subject_001457,t1_in_atlas,False
-LZNKiuQbDGY4vzt7XR2,1,subject_002042_atlas_in_t1,4015,user_0028,subject_002042,atlas_in_t1,False
-LZNKk4hkCZcP4p6DONX,1,gold_subject_002026_t1_in_atlas_copy3,4811,user_0028,subject_002026,t1_in_atlas,True
-LZNKkc_KulfwvJRbajD,1,subject_001474_t1_in_atlas,2223,user_0028,subject_001474,t1_in_atlas,False
-LZNKwV-E9hWTZdJWrEF,0,subject_000085_atlas_in_t1,48597,user_0028,subject_000085,atlas_in_t1,False
-LZNKxsrv6VdnBMyd4pe,1,gold_subject_000865_t1_in_atlas_copy1,5677,user_0028,subject_000865,t1_in_atlas,True
-LZNKyna76XTx_SJtTfM,1,subject_003811_t1_in_atlas,3752,user_0028,subject_003811,t1_in_atlas,False
-LZNKzgU4RVCr9CB0fsX,1,subject_002570_t1_in_atlas,3632,user_0028,subject_002570,t1_in_atlas,False
-LZNL-Z7nOfPjexSAIGr,1,subject_003975_t1_in_atlas,3554,user_0028,subject_003975,t1_in_atlas,False
-LZNL27bf2ez7wE1VGjS,1,subject_000114_atlas_in_t1,10522,user_0028,subject_000114,atlas_in_t1,False
-LZNL2mO0_2mPloghah3,1,subject_003560_atlas_in_t1,2667,user_0028,subject_003560,atlas_in_t1,False
-LZNL65CSxqQa51cweTJ,1,subject_001972_t1_in_atlas,13547,user_0028,subject_001972,t1_in_atlas,False
-LZNL6oxajUVVg7shDjy,1,subject_000324_atlas_in_t1,2985,user_0028,subject_000324,atlas_in_t1,False
-LZNL7ZhxkZh1cVCbwuo,1,subject_003618_atlas_in_t1,3050,user_0028,subject_003618,atlas_in_t1,False
-LZNL8MxbuQJ3u-7LaGF,1,subject_003583_t1_in_atlas,3272,user_0028,subject_003583,t1_in_atlas,False
-LZNL8vKrLdHZM8Y6ALY,1,subject_002752_t1_in_atlas,2259,user_0028,subject_002752,t1_in_atlas,False
-LZNL9F3oNMRS5BrFcIl,1,gold_subject_001197_t1_in_atlas_copy2,1321,user_0028,subject_001197,t1_in_atlas,True
