sample,count
gold_subject_000008_atlas_in_t1_copy1,3
gold_subject_000008_atlas_in_t1_copy2,3
gold_subject_000008_atlas_in_t1_copy3,3
gold_subject_000008_t1_in_atlas_copy1,3
gold_subject_000008_t1_in_atlas_copy2,2
gold_subject_000008_t1_in_atlas_copy3,2
gold_subject_000010_atlas_in_t1_copy1,2
gold_subject_000010_atlas_in_t1_copy2,2
gold_subject_000010_atlas_in_t1_copy3,3
gold_subject_000010_t1_in_atlas_copy1,2
gold_subject_000010_t1_in_atlas_copy2,3
gold_subject_000010_t1_in_atlas_copy3,2
gold_subject_000013_atlas_in_t1_copy1,2
gold_subject_000013_atlas_in_t1_copy2,2
gold_subject_000013_atlas_in_t1_copy3,3
gold_subject_000013_t1_in_atlas_copy1,3
gold_subject_000013_t1_in_atlas_copy2,2
gold_subject_000013_t1_in_atlas_copy3,3
gold_subject_000016_atlas_in_t1_copy1,3
gold_subject_000016_atlas_in_t1_copy2,3
gold_subject_000016_atlas_in_t1_copy3,2
gold_subject_000016_t1_in_atlas_copy1,3
gold_subject_000016_t1_in_atlas_copy2,3
gold_subject_000016_t1_in_atlas_copy3,3
gold_subject_000018_atlas_in_t1_copy1,2
gold_subject_000018_atlas_in_t1_copy2,2
gold_subject_000018_atlas_in_t1_copy3,3
gold_subject_000018_t1_in_atlas_copy1,3
gold_subject_000018_t1_in_atlas_copy2,3
gold_subject_000018_t1_in_atlas_copy3,3
gold_subject_000023_atlas_in_t1_copy1,3
gold_subject_000023_atlas_in_t1_copy2,2
gold_subject_000023_atlas_in_t1_copy3,3
gold_subject_000023_t1_in_atlas_copy1,3
gold_subject_000023_t1_in_atlas_copy2,3
gold_subject_000023_t1_in_atlas_copy3,3
gold_subject_000024_atlas_in_t1_copy1,3
gold_subject_000024_atlas_in_t1_copy2,3
gold_subject_000024_atlas_in_t1_copy3,3
gold_subject_000024_t1_in_atlas_copy1,3
gold_subject_000024_t1_in_atlas_copy2,3
gold_subject_000024_t1_in_atlas_copy3,2
gold_subject_000030_atlas_in_t1_copy1,3
gold_subject_000030_atlas_in_t1_copy2,3
gold_subject_000030_atlas_in_t1_copy3,3
gold_subject_000030_t1_in_atlas_copy1,3
gold_subject_000030_t1_in_atlas_copy2,2
gold_subject_000030_t1_in_atlas_copy3,3
gold_subject_000034_atlas_in_t1_copy1,3
gold_subject_000034_atlas_in_t1_copy2,3
gold_subject_000034_atlas_in_t1_copy3,2
gold_subject_000034_t1_in_atlas_copy1,2
gold_subject_000034_t1_in_atlas_copy2,2
gold_subject_000034_t1_in_atlas_copy3,3
gold_subject_000036_atlas_in_t1_copy1,2
gold_subject_000036_atlas_in_t1_copy2,3
gold_subject_000036_atlas_in_t1_copy3,3
gold_subject_000036_t1_in_atlas_copy1,3
gold_subject_000036_t1_in_atlas_copy2,3
gold_subject_000036_t1_in_atlas_copy3,3
gold_subject_000038_atlas_in_t1_copy1,3
gold_subject_000038_atlas_in_t1_copy2,2
gold_subject_000038_atlas_in_t1_copy3,3
gold_subject_000038_t1_in_atlas_copy1,3
gold_subject_000038_t1_in_atlas_copy2,3
gold_subject_000038_t1_in_atlas_copy3,2
gold_subject_000039_atlas_in_t1_copy1,3
gold_subject_000039_atlas_in_t1_copy2,3
gold_subject_000039_atlas_in_t1_copy3,3
gold_subject_000039_t1_in_atlas_copy1,3
gold_subject_000039_t1_in_atlas_copy2,3
gold_subject_000039_t1_in_atlas_copy3,3
gold_subject_000041_atlas_in_t1_copy1,3
gold_subject_000041_atlas_in_t1_copy2,3
gold_subject_000041_atlas_in_t1_copy3,3
gold_subject_000041_t1_in_atlas_copy1,3
gold_subject_000041_t1_in_atlas_copy2,3
gold_subject_000041_t1_in_atlas_copy3,2
gold_subject_000043_atlas_in_t1_copy1,3
gold_subject_000043_atlas_in_t1_copy2,3
gold_subject_000043_atlas_in_t1_copy3,3
gold_subject_000043_t1_in_atlas_copy1,3
gold_subject_000043_t1_in_atlas_copy2,3
gold_subject_000043_t1_in_atlas_copy3,3
gold_subject_000046_atlas_in_t1_copy1,3
gold_subject_000046_atlas_in_t1_copy2,2
gold_subject_000046_atlas_in_t1_copy3,3
gold_subject_000046_t1_in_atlas_copy1,2
gold_subject_000046_t1_in_atlas_copy2,3
gold_subject_000046_t1_in_atlas_copy3,3
gold_subject_000047_atlas_in_t1_copy1,3
gold_subject_000047_atlas_in_t1_copy2,3
gold_subject_000047_atlas_in_t1_copy3,3
gold_subject_000047_t1_in_atlas_copy1,2
gold_subject_000047_t1_in_atlas_copy2,3
