user,admin,consent,level,score,taken_tutorial
user_0000,False,True,4,1072,True
user_0001,False,True,1,329,True
user_0002,False,True,0,4,True
user_0003,False,True,0,0,False
user_0004,False,True,0,5,True
user_0005,False,True,1,101,True
user_0006,False,True,5,1501,True
user_0007,False,True,0,0,False
user_0008,False,True,0,6,True
user_0009,False,True,0,0,False
user_0010,False,True,0,0,False
user_0011,False,True,0,0,False
user_0012,False,True,0,36,True
user_0013,False,True,0,7,True
user_0014,False,True,2,670,True
user_0015,False,True,1,203,True
user_0016,True,True,0,63,True
user_0017,False,True,0,22,True
user_0018,True,True,0,6,True
user_0019,False,True,1,101,True
user_0020,False,True,0,39,True
user_0021,False,True,6,2019,True
user_0022,False,True,3,852,True
user_0023,False,True,0,0,False
user_0024,False,True,2,730,True
user_0025,False,True,6,2020,True
user_0026,False,True,5,1501,True
user_0027,False,True,0,50,True
user_0028,False,True,0,26,True
user_0029,False,True,0,32,True
user_0030,False,True,0,51,True
user_0031,False,True,0,0,False
user_0032,False,True,0,0,False
user_0033,False,True,1,209,True
user_0034,False,True,0,0,False
user_0035,False,True,0,11,True
user_0036,False,True,1,115,True
user_0037,False,True,0,0,False
user_0038,False,True,2,685,True
user_0039,False,True,0,25,True
user_0040,False,True,0,0,False
user_0041,False,True,4,1167,True
user_0042,False,True,0,70,True
user_0043,False,True,0,0,False
user_0044,False,True,6,2642,True
user_0045,False,True,0,0,False
user_0046,False,True,1,288,True
user_0047,False,True,0,0,False
user_0048,False,True,0,0,False
user_0049,,,,61,True
user_0050,False,True,0,54,True
user_0051,False,True,5,1857,True
user_0052,False,True,1,236,True
user_0053,False,True,0,77,True
user_0054,False,True,0,39,True
user_0055,False,True,2,365,True
user_0056,False,True,0,0,False
user_0057,False,True,1,101,True
user_0058,False,True,0,0,False
user_0059,False,True,1,276,True
user_0060,False,True,2,355,True
user_0061,False,True,0,95,True
user_0062,False,True,0,0,False
user_0063,False,True,6,3113,True
user_0064,False,True,5,1535,True
user_0065,False,True,6,2536,True
user_0066,False,True,0,0,False
user_0067,False,True,0,7,True
