vote,response,sample,time,user
-LZNKgoC8-Aj2NuhvKjS,1,subject_001654_atlas_in_t1,5896,user_0028
-LZNKhvZBf5qFg37Mvx_,1,subject_001457_t1_in_atlas,4555,user_0028
-LZNKiuQbDGY4vzt7XR2,1,subject_002042_atlas_in_t1,4015,user_0028
-LZNKk4hkCZcP4p6DONX,1,gold_subject_002026_t1_in_atlas_copy3,4811,user_0028
-LZNKkc_KulfwvJRbajD,1,subject_001474_t1_in_atlas,2223,user_0028
-LZNKwV-E9hWTZdJWrEF,0,subject_000085_atlas_in_t1,48597,user_0028
-LZNKxsrv6VdnBMyd4pe,1,gold_subject_000865_t1_in_atlas_copy1,5677,user_0028
-LZNKyna76XTx_SJtTfM,1,subject_003811_t1_in_atlas,3752,user_0028
-LZNKzgU4RVCr9CB0fsX,1,subject_002570_t1_in_atlas,3632,user_0028
-LZNL-Z7nOfPjexSAIGr,1,subject_003975_t1_in_atlas,3554,user_0028
-LZNL27bf2ez7wE1VGjS,1,subject_000114_atlas_in_t1,10522,user_0028
-LZNL2mO0_2mPloghah3,1,subject_003560_atlas_in_t1,2667,user_0028
-LZNL65CSxqQa51cweTJ,1,subject_001972_t1_in_atlas,13547,user_0028
-LZNL6oxajUVVg7shDjy,1,subject_000324_atlas_in_t1,2985,user_0028
-LZNL7ZhxkZh1cVCbwuo,1,subject_003618_atlas_in_t1,3050,user_0028
-LZNL8MxbuQJ3u-7LaGF,1,subject_003583_t1_in_atlas,3272,user_0028
-LZNL8vKrLdHZM8Y6ALY,1,subject_002752_t1_in_atlas,2259,user_0028
-LZNL9F3oNMRS5BrFcIl,1,gold_subject_001197_t1_in_atlas_copy2,1321,user_0028
-LZNLAAJnfqzWPnIWjgL,1,gold_subject_000434_t1_in_atlas_copy2,3786,user_0028
-LZNLAaBMI0KciKAYf0j,1,subject_002703_t1_in_atlas,1714,user_0028
-LZNLBEQvFNLBpDiDCRP,1,subject_002636_atlas_in_t1,2632,user_0028
-LZNLBggz4R_l7nTfMYl,1,gold_subject_000516_t1_in_atlas_copy2,1865,user_0028
-LZNLCDo1FBa0Lv5MSxq,1,gold_subject_001679_t1_in_atlas_copy3,2178,user_0028
-LZNLEYXKUJkOW2iEUOo,1,subject_003282_atlas_in_t1,9511,user_0028
-LZQaQpLH_r4pAs854z8,0,gold_subject_000699_t1_in_atlas_copy2,3965,user_0054
-LZQaSa3jY-0NP4M5YrC,1,subject_001366_t1_in_atlas,7196,user_0054
-LZQaUPuonRgBlj6JFkg,1,subject_003747_t1_in_atlas,7467,user_0054
-LZQaYXuN9hKRp-z1uWh,0,gold_subject_001426_atlas_in_t1_copy3,16884,user_0054
-LZQaZGnNZiiezHvWRQt,0,gold_subject_002054_t1_in_atlas_copy2,2990,user_0054
-LZQaa-SVK2bMPQY8uR1,1,gold_subject_000039_t1_in_atlas_copy1,7069,user_0054
-LZQaabq5x-5_ywh2KOg,1,subject_003530_atlas_in_t1,2511,user_0054
-LZQac4seb2PvA8lnKAs,1,subject_000781_t1_in_atlas,6006,user_0054
-LZQbHk1Amto4bOjXj7Y,1,subject_001550_atlas_in_t1,2829,user_0054
-LZQbIFEQeb5YG4TazuL,1,subject_000502_atlas_in_t1,2046,user_0054
-LZQbIxazN-69U13Uv0r,0,subject_003727_t1_in_atlas,2893,user_0054
-LZQbJXSBhmOTvRUV4A4,1,subject_001473_atlas_in_t1,2350,user_0054
-LZQbK5syiWcjeodxJuk,0,gold_subject_000389_atlas_in_t1_copy2,2319,user_0054
-LZQbLtcwdeRn7uGw3KT,1,subject_003770_t1_in_atlas,7334,user_0054
-LZQbMVOZBam9stCieky,1,subject_003984_atlas_in_t1,2467,user_0054
-LZQbNQqufEmPHwdYmO2,1,subject_001637_atlas_in_t1,3794,user_0054
-LZQbO18Zkcn9CosdViy,0,gold_subject_000656_atlas_in_t1_copy1,2441,user_0054
-LZQbOezzoXQQMI9tmEo,1,subject_000562_t1_in_atlas,2603,user_0054
-LZQbPUiDrjae0Bo8Gq1,1,gold_subject_002696_t1_in_atlas_copy2,3365,user_0054
-LZQbQ3NqXCHhgQGk-PH,1,subject_000697_t1_in_atlas,2335,user_0054
-LZQbQYNzDu8XT4XpcOV,0,subject_000856_t1_in_atlas,1973,user_0054
-LZR6OPjdpGmPMwFLq20,1,subject_003063_atlas_in_t1,6004,user_0018
-LZR6PUDSKWZOLdNhOmq,1,subject_001099_t1_in_atlas,4372,user_0018
-LZR6Qr2ywghWeoTa0Me,1,subject_000284_t1_in_atlas,5614,user_0018
-LZR6Rsy1UaCYVRybxBL,1,subject_002192_t1_in_atlas,4214,user_0018
-LZR6SFH1iKQwpGFddWW,1,subject_001223_t1_in_atlas,1482,user_0018
-LZR6UzeKoyqd-cy4cnA,1,subject_002039_atlas_in_t1,11218,user_0018
-LZRIgxrQM0dxVwb6HXq,1,subject_000426_atlas_in_t1,4317,user_0064
-LZRPq1zvLWPEnX0Tixq,1,gold_subject_000376_t1_in_atlas_copy2,2558,user_0064
-LZRPqKFZh3hh_-mTO6M,1,subject_001720_t1_in_atlas,1158,user_0064
-LZRQlf0Tk87LPVxlpNx,1,gold_subject_000713_t1_in_atlas_copy3,3122,user_0064
-LZRQmMTFOTmfHUQ2qz2,1,gold_subject_000389_atlas_in_t1_copy1,2837,user_0064
-LZRQmx2ARY141pQGDQY,1,subject_001118_atlas_in_t1,2399,user_0064
-LZRQu309F5aPrJBkCBv,1,subject_001980_atlas_in_t1,29113,user_0064
-LZRQuVSKxOazP38za1l,1,subject_000085_t1_in_atlas,1813,user_0064
-LZRQuyHa4KGqeu_WOpX,1,gold_subject_000475_t1_in_atlas_copy2,1902,user_0064
-LZRQvwYE8KrUZ2QrB6o,1,gold_subject_001206_t1_in_atlas_copy3,3979,user_0064
-LZRQwJHrATjQx8-7DRf,1,subject_000103_atlas_in_t1,1513,user_0064
-LZRQwdGQ5AW4BPMHqeN,1,subject_000438_atlas_in_t1,1337,user_0064
-LZRQx-hL5EvUywg4ECW,1,subject_000917_t1_in_atlas,1494,user_0064
-LZRQxQb1C_g-wMElrYR,1,gold_subject_000380_t1_in_atlas_copy3,1715,user_0064
-LZRQxgUWmo1EWTBN2yu,1,subject_000621_t1_in_atlas,1074,user_0064
-LZRQxvxO16PyQRNtkAo,1,subject_002288_t1_in_atlas,984,user_0064
-LZRQyRKcXb9JlnoLMsR,1,gold_subject_001578_atlas_in_t1_copy2,2065,user_0064
-LZRQypnnyanGk_l3-7L,1,gold_subject_002443_atlas_in_t1_copy2,1624,user_0064
-LZRQz77OOJXuufV7LvI,1,subject_000513_atlas_in_t1,1168,user_0064
-LZRQzP9c-fv5sv-20yZ,1,subject_003137_atlas_in_t1,1148,user_0064
-LZRQzoZA7scrrl34w9R,1,gold_subject_002257_atlas_in_t1_copy2,1684,user_0064
-LZRR054pUAyQNFowejd,1,subject_002645_t1_in_atlas,5211,user_0064
-LZRR0N-rJhGhivHzbI1,1,subject_000975_t1_in_atlas,1140,user_0064
-LZRR0fIXChtpVKop_Jq,1,subject_001093_t1_in_atlas,1229,user_0064
-LZRR1J7r8UxIzDGUenQ,0,gold_subject_000239_atlas_in_t1_copy2,2606,user_0064
-LZRR1dJkkQycIBQKiaj,1,subject_002381_t1_in_atlas,1349,user_0064
-LZRR22xtMlA5zQbM5ES,1,subject_000561_atlas_in_t1,1699,user_0064
-LZRR2KTZ49i5YdoOc_2,1,subject_000084_t1_in_atlas,1115,user_0064
-LZRR2kFRtBHBR6vktXK,1,subject_001122_t1_in_atlas,1708,user_0064
-LZRR33GmpA8_ZVpSSWh,1,subject_000473_atlas_in_t1,1276,user_0064
-LZRR3KMvyWgB_p5w8QK,1,gold_subject_001263_atlas_in_t1_copy3,1089,user_0064
-LZRR3a9wpLKUxKZd71U,1,subject_000538_atlas_in_t1,1069,user_0064
-LZRR3wOZp4TScRauBJc,1,gold_subject_000820_atlas_in_t1_copy1,1419,user_0064
-LZRR4Bp2jB7MrvSeQyn,1,subject_003900_atlas_in_t1,1046,user_0064
-LZRR4OoYbjCht-wOLI-,1,subject_003798_atlas_in_t1,826,user_0064
-LZRR4fa27T8hA6axDSK,1,subject_000811_atlas_in_t1,1130,user_0064
-LZRR57OUZqFzulvtJk8,1,subject_002493_atlas_in_t1,1836,user_0064
-LZRR5Nh-cIvaEFR8jUH,1,subject_000122_atlas_in_t1,1039,user_0064
-LZRR5byDfydPCYLoPE0,1,subject_001000_atlas_in_t1,972,user_0064
-LZRR5p4myPHy8e5GwvW,1,gold_subject_002179_atlas_in_t1_copy3,834,user_0064
-LZRR67ECNbidsUrmDYF,1,subject_003743_atlas_in_t1,1220,user_0064
-LZRR6LRnjKuOd0Nv2Nd,1,subject_001534_atlas_in_t1,905,user_0064
-LZRR6ZfHR_4zcFuzD7v,1,subject_002588_atlas_in_t1,907,user_0064
-LZRR6rwluASKgG1LE5z,1,subject_002962_atlas_in_t1,1228,user_0064
-LZRR7NhCWyz9vIwkpFS,1,gold_subject_001738_t1_in_atlas_copy1,2090,user_0064
-LZRR7eS6S4XoXZcVlNs,1,gold_subject_001645_t1_in_atlas_copy3,1131,user_0064
-LZRR819F37T8-l17PNu,1,subject_003983_t1_in_atlas,1512,user_0064
-LZRR8QWc-a_l0K2s9Sp,1,gold_subject_000663_atlas_in_t1_copy2,1618,user_0064
-LZRR8r7uUVf5K_FWZCw,1,gold_subject_002532_t1_in_atlas_copy1,1761,user_0064
-LZRR9Aay0WDsbxY8Nr0,1,gold_subject_002229_atlas_in_t1_copy2,1305,user_0064
-LZRR9X5d094Oo4-2U1n,1,subject_003802_t1_in_atlas,1435,user_0064
-LZRR9n67pIVrtisjCJc,1,subject_002976_atlas_in_t1,1083,user_0064
-LZRRBjFeYxcu9YQefy_,1,subject_002877_atlas_in_t1,2163,user_0064
-LZRRCD41oQbiwEq8snI,1,gold_subject_000908_t1_in_atlas_copy2,1966,user_0064
-LZRRCZruG22qMUUL7AM,1,subject_000859_atlas_in_t1,1452,user_0064
-LZRRCw2Zvu5bE0RZ7gi,1,subject_000787_atlas_in_t1,1478,user_0064
-LZRRDCeDM3tjyHccRZd,1,subject_003593_atlas_in_t1,1122,user_0064
-LZRRDbI18u1Ua3cW3La,1,gold_subject_001179_atlas_in_t1_copy3,1635,user_0064
-LZRRDxFiDJmO_tD79nG,1,gold_subject_002300_atlas_in_t1_copy2,1398,user_0064
-LZRRETb_xDbm4rin5A7,1,subject_003482_t1_in_atlas,2130,user_0064
-LZRREjmNm4L7EpGJU5Z,1,subject_000988_atlas_in_t1,1093,user_0064
-LZRRF6P2K1DU8T90SWN,1,subject_003543_t1_in_atlas,1507,user_0064
-LZRRFW24Ej9j65HGqy6,1,gold_subject_002443_t1_in_atlas_copy1,1636,user_0064
-LZRRFmjIS0vsasF7hCz,1,gold_subject_001818_t1_in_atlas_copy3,1127,user_0064
-LZRRG3jpDIu3fnQ4n6b,1,subject_000750_atlas_in_t1,1146,user_0064
-LZRRGxSWS8h_-uqftNn,1,subject_003751_t1_in_atlas,3625,user_0064
-LZRRHFTYqX1wkuFZKoD,1,subject_003611_t1_in_atlas,1212,user_0064
-LZRRHfMoW_9F4HW_Jmr,1,subject_002908_atlas_in_t1,1716,user_0064
-LZRRHzqk17RHVU2c8_d,1,subject_002333_atlas_in_t1,1305,user_0064
-LZRRIWrg_S4CuGyOKDC,1,subject_003344_atlas_in_t1,2171,user_0064
-LZRRJ6DpCCEGKMBN19h,1,gold_subject_000353_atlas_in_t1_copy1,2386,user_0064
-LZRRJngecGq3xFBW7nB,0,gold_subject_000092_t1_in_atlas_copy1,2841,user_0064
-LZRRK5i8P7PZp3ylqzD,1,subject_002314_t1_in_atlas,1210,user_0064
-LZRRKTszojYxyt1x6dZ,1,subject_002249_atlas_in_t1,1540,user_0064
-LZRRKs9xhnggzkO51uK,1,subject_003500_t1_in_atlas,1612,user_0064
-LZRRLDnc0uE3TErUzIf,1,subject_001847_atlas_in_t1,1443,user_0064
-LZRRLbhBZRaMdokL6od,0,gold_subject_002228_atlas_in_t1_copy3,1588,user_0064
-LZRRLu9hyln76rUbp9f,1,gold_subject_002197_atlas_in_t1_copy1,1176,user_0064
-LZRRMHRJU1NLQXgDO9o,1,gold_subject_001390_t1_in_atlas_copy3,1548,user_0064
-LZRRMZtAi_PHYjeWXnP,1,subject_001858_t1_in_atlas,1174,user_0064
-LZRRN5EXy0XZpAAz_4L,1,gold_subject_000741_t1_in_atlas_copy2,2129,user_0064
-LZRRNMPxEvKwKc_j4Iw,1,subject_003419_atlas_in_t1,1093,user_0064
-LZRRNjCBi1MRTh1AlSE,1,subject_001244_t1_in_atlas,1518,user_0064
-LZRRO0YQF0LhqfuWKIk,1,subject_001550_t1_in_atlas,1169,user_0064
-LZRROQDMnfOs0sViOwz,1,subject_003646_atlas_in_t1,1637,user_0064
-LZRROxbKRcsowgsM1Rs,1,subject_000843_t1_in_atlas,2196,user_0064
-LZRRPJIyU7VLPR-huZP,1,subject_003199_t1_in_atlas,1447,user_0064
-LZRRPdfcHm0RE8AyblD,1,gold_subject_000422_t1_in_atlas_copy3,1362,user_0064
-LZRRQFAias3XKH9bUJH,1,gold_subject_000216_atlas_in_t1_copy3,2458,user_0064
-LZRRQ_LNvJxVQzi9pZO,1,subject_001701_t1_in_atlas,1350,user_0064
-LZRRR93KjEvnt-1EsKw,1,gold_subject_000253_t1_in_atlas_copy3,2345,user_0064
-LZRRRORZ8l9QKrmDS4X,1,gold_subject_001828_atlas_in_t1_copy3,978,user_0064
-LZRRRd2I79qRM-89ODZ,1,gold_subject_001710_atlas_in_t1_copy1,993,user_0064
-LZRRRqZ00VL3RK__4Zu,1,subject_000648_t1_in_atlas,859,user_0064
-LZRRSIH0X-3E4-E3_Ka,1,subject_003915_t1_in_atlas,1832,user_0064
-LZRRScOvlKaqnwye5pN,1,subject_002181_atlas_in_t1,1344,user_0064
-LZRRSvZ5li-4FzKbfCL,1,gold_subject_000156_atlas_in_t1_copy2,1222,user_0064
-LZRRTZFJ8sexUhpxgMI,1,gold_subject_001129_t1_in_atlas_copy1,2598,user_0064
-LZRRTpWm1GIp_dbWtRM,1,subject_001464_atlas_in_t1,1099,user_0064
-LZRRU2flyAoxjlqiPTc,1,subject_001834_atlas_in_t1,901,user_0064
-LZRRUJeKx_JGBvFz9mS,1,subject_000481_t1_in_atlas,1081,user_0064
-LZWYIWw5WgABzLuLQQI,1,subject_000285_atlas_in_t1,3453,user_0064
-LZWYJ4t6Mg-3_QWMvFQ,1,gold_subject_001999_t1_in_atlas_copy2,2290,user_0064
-LZWYJtgZKEJmgj7meyv,1,gold_subject_000821_atlas_in_t1_copy2,3308,user_0064
-LZWYKdUKKHOT0BcR6yM,1,gold_subject_001482_t1_in_atlas_copy2,3051,user_0064
-LZWYKxp0C1iwFYl_fBD,1,subject_001546_t1_in_atlas,1296,user_0064
-LZWYLQRRZtpuQ1i8g3F,1,subject_002280_t1_in_atlas,1890,user_0064
-LZWYLwsaRR_osmLrP-Q,1,subject_000766_atlas_in_t1,2133,user_0064
-LZWYMKsFkBVbv_MP-QL,1,gold_subject_000934_t1_in_atlas_copy1,1594,user_0064
-LZWYMkzN0Z-t5ey_7Vu,1,subject_003138_atlas_in_t1,1729,user_0064
-LZWYN4aX79bBzXrrEhb,1,subject_001708_t1_in_atlas,1313,user_0064
-LZWYNTcSehMPw-nuPsg,1,gold_subject_001224_atlas_in_t1_copy1,1596,user_0064
-LZWYNuav5QzmaIeGNUJ,1,subject_001090_atlas_in_t1,1784,user_0064
-LZWYOCSj2UEhMYUzW60,1,subject_001194_t1_in_atlas,1200,user_0064
-LZWYP1V3sPPPAAKLh01,1,subject_003308_atlas_in_t1,3389,user_0064
-LZWYPTHh_t40-2fTH1Q,1,gold_subject_001129_atlas_in_t1_copy2,1772,user_0064
-LZWYPkJG7OHLJECRI5l,1,subject_002893_t1_in_atlas,1148,user_0064
-LZWYQ4DGdABhwdILOBk,1,gold_subject_001574_t1_in_atlas_copy1,1332,user_0064
-LZWYQOWGOgIF0aOv1iU,1,gold_subject_000010_t1_in_atlas_copy3,1293,user_0064
-LZWYQrdORkPcd9Drhx8,1,subject_002119_t1_in_atlas,1923,user_0064
-LZWYSA9XUA7V55Qnw0f,0,gold_subject_002300_atlas_in_t1_copy3,5339,user_0064
-LZWYSZffzlh_tauxlQJ,1,gold_subject_002465_atlas_in_t1_copy2,1626,user_0064
-LZWYSy0ub_IFQ8Ds8zP,1,gold_subject_002387_atlas_in_t1_copy2,1616,user_0064
-LZWYTG5ku26wbljmfio,1,subject_003245_t1_in_atlas,1215,user_0064
-LZWYTdC7ChHrEULWj1G,1,subject_000378_atlas_in_t1,1537,user_0064
-LZWYTvE40vja3MsBSy_,1,subject_003508_t1_in_atlas,1149,user_0064
-LZWYUArU_573lAPYNv4,1,subject_000332_t1_in_atlas,1059,user_0064
-LZWYUVY9h36YMXDBamf,1,subject_001520_t1_in_atlas,1319,user_0064
-LZWYUmYwoaKKFQ5ToMt,1,subject_002943_atlas_in_t1,1146,user_0064
-LZWYVIBU07DrTIj7hoZ,1,gold_subject_000630_atlas_in_t1_copy3,2081,user_0064
-LZWYVb1x82p10cOiS_K,1,gold_subject_001673_t1_in_atlas_copy1,1264,user_0064
-LZWYVyx6FDQZocglrkb,1,subject_002734_atlas_in_t1,1526,user_0064
-LZWYWCNm3uTvgSP-kMO,1,subject_001941_t1_in_atlas,917,user_0064
-LZWYWbMXXPyty-BtKp2,1,subject_002843_atlas_in_t1,1656,user_0064
-LZWYX9GfiFxBkApBAhM,1,gold_subject_000043_t1_in_atlas_copy2,2229,user_0064
-LZWYXMZQkJpafEM2Xjd,1,gold_subject_000299_atlas_in_t1_copy3,845,user_0064
-LZWYXkA5zpKM_w5pjzR,1,subject_003359_t1_in_atlas,1567,user_0064
-LZWYYMySTCEAEA6Fie_,1,gold_subject_000386_t1_in_atlas_copy1,2540,user_0064
-LZWYZDmpsDpg9OR4hrQ,1,subject_000194_t1_in_atlas,3501,user_0064
-LZWYZlDIkyG5isCMlZA,1,gold_subject_000313_atlas_in_t1_copy1,2198,user_0064
-LZWY_9inHT_zE-P95bm,1,subject_003756_t1_in_atlas,1627,user_0064
-LZWY_mtim6dcZiEDMI9,1,gold_subject_000762_atlas_in_t1_copy1,2565,user_0064
-LZWYaJ_7szeOb0pk5xW,1,subject_003113_t1_in_atlas,2148,user_0064
-LZWYapL6pg1MFt8iW2q,1,gold_subject_002443_atlas_in_t1_copy1,2092,user_0064
-LZWYcSoh9IANpmbmbWi,1,subject_000448_atlas_in_t1,6680,user_0064
-LZWYd0TUMidxvL-DZU9,1,subject_000429_atlas_in_t1,2276,user_0064
-LZWYdILmHtREWSVJ6F3,1,subject_002886_atlas_in_t1,1138,user_0064
-LZWYdjRfgNFU8-Xs7t3,1,subject_002084_atlas_in_t1,1792,user_0064
-LZWYeTxcxAGeyPMNlfc,1,subject_000728_t1_in_atlas,3035,user_0064
-LZWYf7PJC9CQ4n3XDfV,1,subject_001887_atlas_in_t1,2647,user_0064
-LZWYfY93ZEMuta71OLz,1,gold_subject_002121_t1_in_atlas_copy1,1706,user_0064
-LZWYftKjo6qtfsXs1ok,1,subject_001062_atlas_in_t1,1414,user_0064
-LZWYgmIoIqk6sudABku,1,gold_subject_001011_t1_in_atlas_copy2,3639,user_0064
-LZWYhatMsebCwHzPlb2,1,gold_subject_001297_atlas_in_t1_copy2,3359,user_0064
-LZWYi-sWyCtopbLqtn3,1,gold_subject_000047_t1_in_atlas_copy3,1657,user_0064
-LZWYiX4yap9LQaimAMQ,1,gold_subject_000487_atlas_in_t1_copy3,2120,user_0064
-LZWYipt51D3CrwaBj0i,1,subject_002024_t1_in_atlas,1262,user_0064
-LZWYj7mtS9Rs5rB9ijR,1,subject_002341_atlas_in_t1,1203,user_0064
-LZWYjT58JaLEmNRcu6Q,1,subject_003490_t1_in_atlas,1358,user_0064
-LZWYjrYCjC_tgeeKVib,1,subject_000768_atlas_in_t1,1622,user_0064
-LZWYkFtMe8CQOiKf28A,1,subject_002765_atlas_in_t1,1617,user_0064
-LZWYkmioIRZnyQt-EFJ,1,gold_subject_001424_t1_in_atlas_copy2,2160,user_0064
-LZWYlIu7V7zvj3kHn8b,1,gold_subject_001671_atlas_in_t1_copy3,2118,user_0064
-LZWYlliAubt_w99Qway,1,subject_001719_t1_in_atlas,1902,user_0064
-LZWYm4V5Iba0oc0m2ZJ,1,subject_003183_t1_in_atlas,1259,user_0064
-LZWYmQ0iuxcBurZC__a,1,subject_000867_atlas_in_t1,1371,user_0064
-LZWYmttqBhGQdPPELnL,1,gold_subject_002320_atlas_in_t1_copy3,1969,user_0064
-LZWYn6xpcQmvuKP8S6u,1,subject_002602_atlas_in_t1,894,user_0064
-LZWYnqLoJNmI8zEzmhJ,1,gold_subject_002201_atlas_in_t1_copy2,2964,user_0064
-LZWYoMQuYTNhdd_qGUA,1,subject_001859_t1_in_atlas,2111,user_0064
-LZWYoezqsYIEx0jOmoT,1,subject_002663_t1_in_atlas,1248,user_0064
-LZXEDhlgKSQf9SXswgi,1,subject_001821_t1_in_atlas,4368,user_0064
-LZXEE4ZdGDhLpuOlJJB,1,subject_002635_t1_in_atlas,1518,user_0064
-LZXEEobzhpGShTNVRcM,1,gold_subject_001455_t1_in_atlas_copy1,3004,user_0064
-LZXEFVMjMKAKRIGwxKc,1,subject_003797_atlas_in_t1,2794,user_0064
-LZXEGSEJwYeDPP61Z34,1,subject_001150_atlas_in_t1,3891,user_0064
-LZXEGjM2pZxfLd2GWlz,1,gold_subject_002229_atlas_in_t1_copy3,1155,user_0064
-LZXEGzqvPRPQ-6IDcuW,1,subject_002061_atlas_in_t1,1051,user_0064
-LZXEHFS-rhU6NkClcVN,1,subject_001872_t1_in_atlas,1059,user_0064
-LZXEHVYOREZ_-Ja3UHj,1,subject_002526_atlas_in_t1,1026,user_0064
-LZXEHlKMochVNHvVOvA,1,subject_002916_t1_in_atlas,1068,user_0064
-LZXEI-JU37s6oCU0z3D,1,subject_002795_t1_in_atlas,955,user_0064
-LZXEILVDsEwYRPbl2Mn,1,subject_003960_atlas_in_t1,1414,user_0064
-LZXEIa-D4ID89gZ9cE4,1,subject_002007_atlas_in_t1,988,user_0064
-LZXEIrq_Kz1f-vIho5V,1,gold_subject_001224_atlas_in_t1_copy3,1138,user_0064
-LZXEJAhGt2dxlYLcCrA,1,subject_000804_atlas_in_t1,1267,user_0064
-LZXEJPCYgaffVpUKXRC,1,subject_002504_atlas_in_t1,922,user_0064
-LZXEJgL8ZHt9a5wXTKZ,1,subject_003701_t1_in_atlas,1155,user_0064
-LZXEJvMEn4-YXYgyZj_,1,subject_001269_t1_in_atlas,957,user_0064
-LZXEKEGgkrjHiuzcFm5,1,subject_002661_atlas_in_t1,1269,user_0064
-LZXEKQgbmsdPBF_W6Xb,1,subject_003112_atlas_in_t1,790,user_0064
-LZXEL3LIv_tMgipDztW,1,subject_002030_t1_in_atlas,2593,user_0064
-LZXELr3A3QZMXf_vC18,1,gold_subject_001612_t1_in_atlas_copy1,3239,user_0064
-LZXEMJXpysuo-ysL_8a,1,subject_000115_atlas_in_t1,1882,user_0064
-LZXEN1922M-gYH6ZXLJ,1,subject_000309_t1_in_atlas,2915,user_0064
-LZXENY2hLxgMauWFDQL,1,subject_003548_t1_in_atlas,2101,user_0064
-LZXEOE0aOh79chJZjld,1,subject_000334_atlas_in_t1,2808,user_0064
-LZXEOu0ehV0T-pQHmiY,1,subject_001511_t1_in_atlas,2747,user_0064
-LZXEPJ6UASy30XroAmn,1,subject_000521_t1_in_atlas,1665,user_0064
